NUM_COMPONENTS,NUM_EPOCHS,LERNING_RATE,score
30,20,0.03,0.7144264401751904
30,20,0.05,0.7438217567862095
30,20,0.07,0.7523237248429053
30,20,0.09,0.7519431891534215
30,25,0.03,0.7260499045212014
30,25,0.05,0.7491381139187059
30,25,0.07,0.7510780111661917
30,25,0.09,0.7477499475468837
30,30,0.03,0.7348551086025107
30,30,0.05,0.7502943476792787
30,30,0.07,0.7479878423943851
30,30,0.09,0.7439453597156807
30,50,0.03,0.7471495617035655
30,50,0.05,0.7426790741182203
30,50,0.07,0.7371862283085018
30,50,0.09,0.7343336889057681
30,70,0.03,0.7441933105884101
30,70,0.05,0.7353148290131519
30,70,0.07,0.7312916167731097
30,70,0.09,0.7295914755124366
60,20,0.03,0.7127962823765772
60,20,0.05,0.7427602665366002
60,20,0.07,0.7528651590619929
60,20,0.09,0.7541944871494739
60,25,0.03,0.7244253209723487
60,25,0.05,0.7488858912084049
60,25,0.07,0.7529128026073271
60,25,0.09,0.7515984137271143
60,30,0.03,0.7333912892495825
60,30,0.05,0.7508876041379394
60,30,0.07,0.7510314792287307
60,30,0.09,0.7486609761035166
60,50,0.03,0.7472659123416996
60,50,0.05,0.7462317532158622
60,50,0.07,0.7429627200139319
60,50,0.09,0.741406994633441
60,70,0.03,0.7457703570224696
60,70,0.05,0.7405668381873807
60,70,0.07,0.7383581162610388
60,70,0.09,0.7376092103845401
100,20,0.03,0.7115831636842025
100,20,0.05,0.7428205270837521
100,20,0.07,0.7544182817440592
100,20,0.09,0.7563412202614386
100,25,0.03,0.7236327078860695
100,25,0.05,0.7500287998918127
100,25,0.07,0.7551243310578737
100,25,0.09,0.7540670636160359
100,30,0.03,0.7330235826257658
100,30,0.05,0.7526327129001306
100,30,0.07,0.7535360399249027
100,30,0.09,0.7514867555995768
100,50,0.03,0.7487594437533123
100,50,0.05,0.7486732472392938
100,50,0.07,0.7462574371243813
100,50,0.09,0.7450278923860938
100,70,0.03,0.7474754372714592
100,70,0.05,0.7434996385751698
100,70,0.07,0.7422058799465495
100,70,0.09,0.7417247761653312
120,20,0.03,0.7112675918151059
120,20,0.05,0.7421255100063832
120,20,0.07,0.7537060007294019
120,20,0.09,0.7559607382522776
120,25,0.03,0.7231084960153076
120,25,0.05,0.7492814083584803
120,25,0.07,0.7545459679656115
120,25,0.09,0.7540991341542509
120,30,0.03,0.732285626472147
120,30,0.05,0.7519242050541051
120,30,0.07,0.7532768317304137
120,30,0.09,0.7518592296738463
120,50,0.03,0.7479548624796124
120,50,0.05,0.7488236726581907
120,50,0.07,0.7467659114923813
120,50,0.09,0.7459664008832351
120,70,0.03,0.7472629381329221
120,70,0.05,0.7479706819955794
120,70,0.07,0.7468528408443004
120,70,0.09,0.7466455424661449
160,20,0.03,0.7157774355848152
160,20,0.05,0.7462138715154903
160,20,0.07,0.7583342911404577
160,20,0.09,0.7607726720031179
160,25,0.03,0.7276317422848567
160,25,0.05,0.7536202817382964
160,25,0.07,0.7593536915243169
160,25,0.09,0.7585106006748981
160,30,0.03,0.7367654268022682
160,30,0.05,0.7567458477180079
160,30,0.07,0.7577637581550118
160,30,0.09,0.7559680565728506
160,50,0.03,0.7528882924757048
160,50,0.05,0.7528897049154927
160,50,0.07,0.7506116467558246
160,50,0.09,0.7496720903706411
160,70,0.03,0.7514411108773144
160,70,0.05,0.7478807721993432
160,70,0.07,0.7467336969004308
160,70,0.09,0.7464706898514933
200,20,0.03,0.7153083702708001
200,20,0.05,0.7458908220586807
200,20,0.07,0.7581839745732286
200,20,0.09,0.7606974330162682
200,25,0.03,0.7270478684953194
200,25,0.05,0.7533866928829839
200,25,0.07,0.7592127366655329
200,25,0.09,0.7584184652805348
200,30,0.03,0.736188098231541
200,30,0.05,0.7564997643771835
200,30,0.07,0.7576489793772152
200,30,0.09,0.7558788135771064
200,50,0.03,0.7523807102775887
200,50,0.05,0.7525859475270815
200,50,0.07,0.7504859123141027
200,50,0.09,0.7496372332317609
200,70,0.03,0.7508873529781823
200,70,0.05,0.7475802675774623
200,70,0.07,0.7465767920993014
200,70,0.09,0.7463837696706443
260,20,0.03,0.7147630984633297
260,20,0.05,0.7454635398458359
260,20,0.07,0.7578983779430143
260,20,0.09,0.7604141825063391
260,25,0.03,0.7264684172697007
260,25,0.05,0.7529835673058175
260,25,0.07,0.7589042091299634
260,25,0.09,0.7580785700222006
260,30,0.03,0.7357331844828304
260,30,0.05,0.7562783317462984
260,30,0.07,0.7572930272380902
260,30,0.09,0.755487564426518
260,50,0.03,0.7521558592121462
260,50,0.05,0.7521945498878673
260,50,0.07,0.7499350585328712
260,50,0.09,0.7489413275042407
260,70,0.03,0.7504002771258536
260,70,0.05,0.7470244148567327
260,70,0.07,0.7459490811381351
260,70,0.09,0.7456691750182108
300,20,0.03,0.7142035532366602
300,20,0.05,0.7452488731025075
300,20,0.07,0.7579754866879841
300,20,0.09,0.7605620558696884
300,25,0.03,0.7261151384585319
300,25,0.05,0.7530221284035721
300,25,0.07,0.7591040100976741
300,25,0.09,0.7580909114911827
300,30,0.03,0.7353946890127869
300,30,0.05,0.7564108995946203
300,30,0.07,0.7574324673797191
300,30,0.09,0.7553677432946112
300,50,0.03,0.7522300582459218
300,50,0.05,0.7521962296071814
300,50,0.07,0.7497329713730203
300,50,0.09,0.7487842798077793
300,70,0.03,0.7503958966448104
300,70,0.05,0.7468457389596117
300,70,0.07,0.7456386390980971
300,70,0.09,0.7454807176492833
